iter	Passed	Remaining
0	10	10679
1	21	10853
2	32	10902
3	44	11190
4	55	11117
5	69	11464
6	82	11647
7	95	11831
8	106	11752
9	117	11681
10	129	11634
11	141	11613
12	152	11553
13	162	11461
14	174	11429
15	185	11409
16	196	11363
17	208	11354
18	220	11359
19	231	11328
20	244	11406
21	256	11384
22	269	11448
23	281	11464
24	293	11446
25	306	11477
26	319	11506
27	332	11532
28	344	11523
29	355	11495
30	366	11461
31	378	11438
32	389	11401
33	403	11459
34	416	11478
35	427	11455
36	439	11431
37	452	11466
38	466	11483
39	477	11453
40	488	11434
41	501	11428
42	514	11439
43	525	11425
44	536	11382
45	547	11362
46	559	11336
47	571	11331
48	582	11303
49	594	11286
50	605	11260
51	617	11250
52	628	11237
53	640	11215
54	652	11213
55	664	11201
56	675	11182
57	687	11172
58	698	11148
59	709	11123
60	720	11098
61	732	11086
62	743	11057
63	755	11045
64	766	11030
65	777	10996
66	788	10977
67	799	10951
68	809	10927
69	820	10907
70	832	10893
71	842	10860
72	853	10838
73	865	10827
74	875	10798
75	887	10791
76	898	10767
77	911	10779
78	923	10760
79	935	10761
80	948	10763
81	962	10775
82	974	10767
83	985	10749
84	996	10726
85	1008	10713
86	1019	10695
87	1030	10677
88	1041	10663
89	1054	10664
90	1065	10648
91	1078	10645
92	1090	10639
93	1103	10635
94	1114	10620
95	1128	10624
96	1140	10619
97	1153	10612
98	1166	10612
99	1178	10604
100	1189	10591
101	1201	10578
102	1213	10567
103	1226	10565
104	1238	10555
105	1250	10547
106	1262	10537
107	1274	10523
108	1285	10509
109	1297	10495
110	1309	10487
111	1321	10477
112	1334	10472
113	1347	10472
114	1361	10477
115	1372	10462
116	1389	10482
117	1402	10480
118	1414	10469
119	1425	10456
120	1437	10441
121	1450	10438
122	1463	10433
123	1475	10420
124	1486	10403
125	1498	10393
126	1510	10382
127	1521	10364
128	1533	10356
129	1546	10350
130	1558	10340
131	1572	10341
132	1585	10338
133	1598	10330
134	1611	10325
135	1625	10324
136	1636	10311
137	1649	10303
138	1662	10299
139	1674	10285
140	1685	10269
141	1697	10258
142	1709	10244
143	1720	10225
144	1730	10204
145	1741	10185
146	1752	10168
147	1763	10150
148	1774	10134
149	1785	10117
150	1796	10101
151	1807	10083
152	1818	10067
153	1830	10053
154	1839	10030
155	1850	10010
156	1860	9991
157	1872	9976
158	1883	9964
159	1895	9952
160	1907	9942
161	1918	9925
162	1929	9908
163	1940	9893
164	1952	9879
165	1964	9868
166	1975	9851
167	1984	9829
168	1994	9808
169	2005	9792
170	2019	9791
171	2032	9786
172	2043	9768
173	2054	9753
174	2065	9738
175	2076	9722
176	2087	9707
177	2099	9693
178	2110	9679
179	2122	9668
180	2135	9663
181	2147	9651
182	2159	9641
183	2171	9629
184	2183	9617
185	2196	9613
186	2209	9603
187	2219	9587
188	2231	9576
189	2242	9559
190	2253	9543
191	2263	9526
192	2275	9512
193	2287	9502
194	2297	9483
195	2308	9467
196	2319	9453
197	2332	9446
198	2342	9430
199	2353	9415
200	2364	9398
201	2375	9384
202	2387	9373
203	2400	9366
204	2412	9355
205	2423	9341
206	2436	9333
207	2448	9322
208	2460	9313
209	2473	9306
210	2485	9293
211	2497	9284
212	2508	9269
213	2520	9256
214	2532	9245
215	2545	9238
216	2557	9226
217	2567	9210
218	2578	9195
219	2589	9181
220	2599	9162
221	2611	9150
222	2623	9139
223	2633	9123
224	2644	9108
225	2656	9097
226	2665	9078
227	2676	9063
228	2687	9047
229	2697	9031
230	2709	9021
231	2721	9007
232	2731	8992
233	2744	8984
234	2756	8973
235	2767	8960
236	2777	8943
237	2789	8930
238	2799	8913
239	2810	8900
240	2822	8890
241	2833	8874
242	2843	8856
243	2854	8843
244	2867	8835
245	2880	8829
246	2891	8814
247	2902	8800
