iter	RMSE
0	969.7756704
1	945.8679589
2	923.250218
3	900.8648603
4	879.436078
5	858.6642989
6	838.8508545
7	819.340004
8	800.7824721
9	782.7987327
10	765.5027328
11	748.6243574
12	732.3787336
13	716.9233565
14	701.918131
15	687.5474009
16	673.7312497
17	660.2252331
18	647.1167175
19	634.7685011
20	622.5839005
21	611.0867595
22	600.0368353
23	589.3564137
24	578.8853918
25	569.2889901
26	559.6870941
27	550.5749276
28	541.8032297
29	533.3747139
30	525.366599
31	517.532499
32	510.0270794
33	503.1120474
34	496.3804139
35	490.1022905
36	484.0948812
37	478.0114938
38	472.1562138
39	466.653042
40	461.244614
41	456.2389279
42	451.3019107
43	446.7856409
44	442.30737
45	438.1523007
46	433.990336
47	430.0479196
48	426.4130474
49	422.9293707
50	419.5775388
51	416.431878
52	413.2121017
53	410.1518105
54	407.2811789
55	404.5235857
56	401.9286268
57	399.5298647
58	397.0879595
59	394.8659713
60	392.7773161
61	390.7735625
62	388.7779676
63	386.9264165
64	385.2053772
65	383.3461251
66	381.7595578
67	380.2044371
68	378.5656557
69	377.1080896
70	375.7403718
71	374.4137309
72	373.2340697
73	371.9932126
74	370.8116864
75	369.7325658
76	368.7624674
77	367.7462983
78	366.7759918
79	365.7099758
80	364.7334829
81	363.9374203
82	363.1070401
83	362.2494264
84	361.3621853
85	360.584891
86	359.7944452
87	359.1289573
88	358.3989899
89	357.8260347
90	357.2060708
91	356.5819539
92	355.8217998
93	355.2819345
94	354.7679493
95	354.2994319
96	353.7402651
97	353.2448482
98	352.7882912
99	352.2688196
100	351.8188935
101	351.344405
102	350.902318
103	350.5000502
104	350.1049996
105	349.7402745
106	349.3428042
107	349.0519457
108	348.7492501
109	348.4103799
110	348.0278432
111	347.6840947
112	347.3914801
113	347.158101
114	346.8922096
115	346.6677484
116	346.4453512
117	346.17041
118	345.870675
119	345.6487568
120	345.2826438
121	345.0330656
122	344.7980379
123	344.590119
124	344.2964695
125	344.0711542
126	343.8714924
127	343.689822
128	343.4879054
129	343.2365588
130	343.0687575
131	342.8377619
132	342.5855867
133	342.3801701
134	342.2507906
135	342.0782284
136	341.9339058
137	341.7523039
138	341.5153671
139	341.2945691
140	341.0514689
141	340.9173279
142	340.78424
143	340.652103
144	340.4552309
145	340.3295304
146	340.2249226
147	339.9905302
148	339.8602053
149	339.7138658
150	339.5731041
151	339.4343428
152	339.3147766
153	339.1823079
154	339.070754
155	338.8475503
156	338.6955673
157	338.4875201
158	338.3483843
159	338.1945849
160	338.0609012
161	337.8979914
162	337.7682181
163	337.6177611
164	337.5085153
165	337.3974793
166	337.2692796
167	337.1795696
168	337.0762151
169	336.9384566
170	336.7797039
171	336.6683678
172	336.4892507
173	336.403398
174	336.2081001
175	336.0767065
176	335.9520887
177	335.8638801
178	335.7991574
179	335.6840104
180	335.5822485
181	335.4854653
182	335.4078687
183	335.2649556
184	335.1625324
185	335.005581
186	334.8819642
187	334.7878637
188	334.6825622
189	334.5838495
