iter	Passed	Remaining
0	30	67912
1	60	66655
2	116	85729
3	155	86103
4	192	85325
5	229	84646
6	262	82753
7	297	81995
8	330	80925
9	360	79480
10	392	78745
11	422	77678
12	455	77174
13	489	76924
14	521	76540
15	553	76168
16	586	75819
17	617	75381
18	646	74784
19	679	74586
20	707	73991
21	739	73708
22	768	73274
23	799	73053
24	831	72859
25	861	72549
26	893	72409
27	923	72171
28	954	71992
29	984	71709
30	1015	71559
31	1048	71562
32	1079	71435
33	1108	71138
34	1137	70878
35	1169	70826
36	1202	70840
37	1236	70860
38	1265	70661
39	1299	70706
40	1334	70793
41	1374	71150
42	1432	72387
43	1473	72740
44	1515	73093
45	1548	73029
46	1580	72930
47	1612	72829
48	1641	72610
49	1670	72362
50	1699	72133
51	1729	71980
52	1761	71907
53	1792	71748
54	1823	71633
55	1854	71514
56	1884	71368
57	1914	71248
58	1944	71078
59	1973	70920
60	2003	70766
61	2032	70605
62	2062	70474
63	2093	70397
64	2124	70307
65	2156	70254
66	2189	70233
67	2222	70195
68	2254	70137
69	2285	70071
70	2319	70060
71	2352	70041
72	2380	69889
73	2414	69877
74	2447	69877
75	2480	69859
76	2509	69724
77	2539	69599
78	2571	69549
79	2601	69465
80	2634	69448
81	2665	69364
82	2695	69262
83	2726	69192
84	2772	69517
85	2808	69567
86	2841	69522
87	2876	69570
88	2917	69730
89	2953	69764
90	2984	69693
91	3017	69661
92	3047	69560
93	3079	69514
94	3112	69493
95	3143	69416
96	3174	69344
97	3211	69397
98	3255	69613
99	3291	69653
100	3327	69675
101	3360	69641
102	3392	69605
103	3428	69634
104	3484	70058
105	3518	70028
106	3551	69992
107	3588	70042
108	3621	69997
109	3654	69972
110	3685	69895
111	3716	69823
112	3746	69721
113	3777	69659
114	3806	69551
115	3844	69607
116	3877	69559
117	3908	69500
118	3940	69443
119	3970	69358
120	4002	69296
121	4035	69269
122	4074	69330
123	4109	69332
124	4145	69340
125	4181	69356
126	4218	69388
127	4252	69364
128	4285	69333
129	4316	69262
130	4346	69183
131	4377	69105
132	4408	69044
133	4440	68994
134	4469	68891
135	4500	68837
136	4531	68762
137	4564	68730
138	4598	68711
139	4632	68695
140	4679	68860
141	4721	68964
142	4757	68960
143	4796	69010
144	4849	69269
145	4911	69635
146	4954	69732
147	4996	69819
148	5031	69806
149	5073	69874
150	5108	69859
151	5141	69811
152	5192	70007
153	5250	70305
154	5289	70329
155	5322	70288
156	5356	70250
157	5397	70298
158	5434	70312
159	5471	70308
160	5510	70335
161	5541	70256
162	5570	70164
163	5605	70142
164	5640	70115
165	5675	70084
166	5713	70097
167	5751	70111
168	5789	70127
169	5824	70103
170	5865	70141
171	5923	70392
172	5969	70489
173	6004	70466
174	6036	70407
175	6076	70433
176	6113	70424
