iter	Passed	Remaining
0	2	2134
1	2	1268
2	2	922
3	3	780
4	3	671
5	3	613
6	4	621
7	4	591
8	5	567
9	5	532
10	7	660
11	7	621
12	7	591
13	8	571
14	10	676
15	10	653
16	10	633
17	11	623
18	12	631
19	14	691
20	14	683
21	16	751
22	19	809
23	21	883
24	24	936
25	24	927
26	25	906
27	27	944
28	28	939
29	30	981
30	30	962
31	32	970
32	34	1015
33	36	1037
34	39	1091
35	39	1064
36	42	1095
37	43	1097
38	43	1075
39	43	1050
40	44	1046
41	45	1027
42	47	1050
43	47	1030
44	47	1011
45	48	1006
46	49	997
47	49	986
48	52	1010
49	54	1041
50	57	1065
51	57	1054
52	58	1037
53	58	1022
54	58	1009
55	60	1023
56	62	1025
57	62	1015
58	62	999
59	63	987
60	63	973
61	63	958
62	65	974
63	67	981
64	69	998
65	72	1023
66	72	1010
67	72	997
68	74	1011
69	77	1026
70	77	1016
71	77	1004
72	78	992
73	80	1007
74	81	1001
75	83	1017
76	86	1032
77	87	1028
78	87	1017
79	87	1005
80	88	1001
81	88	992
82	90	1002
83	91	997
84	91	987
85	92	979
86	92	970
87	92	962
88	93	952
89	93	942
90	95	953
91	96	949
92	96	940
93	98	951
94	101	964
95	101	958
96	104	968
97	106	978
98	107	980
99	108	972
100	108	963
101	109	968
102	110	962
103	112	969
104	112	962
105	113	955
106	113	947
107	113	940
108	115	947
109	118	955
110	119	954
111	119	945
112	120	949
113	122	954
114	123	950
115	123	942
116	124	935
117	124	928
118	124	920
119	124	914
120	124	906
121	127	914
122	127	910
123	127	903
124	130	910
125	132	918
126	133	919
127	133	912
128	136	919
129	138	928
130	140	933
131	143	940
132	143	934
133	143	927
134	143	921
135	144	916
136	144	909
137	144	905
138	145	899
139	145	894
140	147	898
141	147	893
142	148	888
143	148	882
144	150	888
145	150	881
146	151	876
147	151	872
148	151	867
149	153	870
150	153	864
151	154	861
152	156	866
153	156	861
154	158	864
155	160	867
156	160	862
157	161	860
158	162	857
159	162	852
160	163	852
161	163	846
162	163	841
163	164	836
164	164	834
165	165	830
166	165	825
167	167	831
168	168	827
169	168	822
170	170	826
171	171	823
172	173	828
173	175	831
174	175	829
175	176	824
176	176	820
177	178	823
178	178	819
179	180	821
180	182	824
181	182	821
182	183	817
183	185	821
184	185	818
185	186	817
186	186	812
187	187	808
188	187	803
189	189	807
190	190	806
191	192	808
192	194	812
193	194	807
194	195	806
195	195	802
196	195	798
197	196	794
198	196	790
199	197	790
200	197	785
201	197	781
202	197	776
203	198	773
204	198	770
205	198	766
206	200	768
207	201	765
208	201	762
209	201	759
210	202	755
211	202	751
212	202	747
213	202	744
214	202	740
215	202	736
216	203	733
217	203	730
218	204	728
219	206	732
220	206	729
221	207	725
222	207	722
223	207	719
224	207	715
225	209	718
226	212	722
227	214	726
228	217	730
229	217	728
230	219	731
231	219	727
232	220	724
233	220	721
234	220	718
235	221	716
236	222	716
237	224	719
238	224	716
239	227	720
240	229	721
241	229	718
242	229	714
243	230	714
244	232	716
245	233	715
246	233	712
247	235	712
248	235	709
249	235	707
250	236	704
251	238	707
252	240	711
253	242	711
254	244	713
255	245	713
256	245	710
257	245	707
258	246	705
259	246	701
260	246	698
261	247	696
262	249	699
263	249	696
264	251	698
265	254	702
266	257	705
267	257	704
268	258	701
269	258	698
270	260	701
271	261	698
272	262	698
273	262	696
274	264	697
275	264	695
276	267	697
277	267	694
278	269	697
279	270	695
280	272	697
281	272	695
282	273	693
283	274	690
284	274	687
285	276	689
286	278	691
287	281	695
288	283	698
289	286	702
290	287	699
291	289	701
292	291	704
293	292	701
294	294	702
295	294	700
296	295	700
297	296	697
298	296	694
299	298	695
300	300	698
301	300	695
302	301	692
303	302	691
304	302	688
305	302	686
306	304	687
307	305	685
308	307	686
309	307	683
310	307	681
311	309	682
312	310	681
313	310	678
314	311	677
315	311	674
316	311	671
317	311	669
318	312	666
319	312	663
320	312	661
321	312	658
322	313	656
323	313	653
324	315	654
325	315	652
326	315	649
327	317	651
328	319	651
329	319	649
330	320	646
331	320	644
332	323	647
333	323	645
334	324	644
335	324	641
336	325	640
337	325	638
338	326	636
339	328	637
340	328	635
341	331	638
342	334	640
343	335	639
344	335	637
345	336	635
346	338	637
347	339	635
348	339	633
349	340	631
350	342	632
351	342	630
352	343	629
353	343	627
354	344	625
355	344	623
356	344	621
357	345	618
358	345	616
359	347	617
360	347	615
361	349	616
362	350	614
363	352	615
364	354	616
365	356	617
366	358	618
