iter	Passed	Remaining
0	387	654629
1	697	589126
2	994	560123
3	1114	470454
4	1405	474240
5	1716	482464
6	1991	479368
7	2262	476307
8	2456	459402
9	2740	460969
10	3018	461215
11	3287	460310
12	3605	465628
13	3897	467098
14	3987	445804
15	4274	447758
16	4569	450190
17	4905	456254
18	5220	459700
19	5534	462720
20	5838	464540
21	6139	466078
22	6417	465718
23	6721	467147
24	7013	467629
25	7299	467733
26	7618	469829
27	7936	471672
28	8204	470475
29	8502	471042
30	8807	471915
31	9093	471710
32	9374	471297
